"Agency Name:","County of Court","Warrant Number","Submitted","Nature of the investigation","Primary Nature","Crime of Violence Options","Secondary Nature","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"TUSTIN ","Orange"," ","04/15/2020 - 18:17","SUBJECTS BROKE INTO A GOVERNMENT OFFICE AND VANDALIZED A GOVERMENT OFFICE WITH GANG TYPE GRAFETTI ","VANDALISM "," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider
Location information
","Sun, 2019-12-08","Sun, 2019-12-08","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
"CA DMV","San Diego","1018-19","04/15/2020 - 18:22","Fraudulent sale of a vehicle","Theft/Fraud"," "," ","Business","T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
","Sun, 2019-06-23","Wed, 2019-09-25","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence","No"," "
"MONTCLAIR POLICE DEPARTMENT","San Bernardino","000031537","04/15/2020 - 20:56","A shooting occurred inside of a business that was discovered to be an illegal gaming location. A search warrant was obtained to search the DVR containing surveillance footage at the location.","ILLEGAL GAMING/GAMBLING"," "," ","Business","No name (No business license).","Stored files (picture, documents, or other files)","Tue, 2019-10-01","Tue, 2020-03-24","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Lemoore Police Department","Kings","20-105F","04/16/2020 - 09:45","The Victim reported that she was being abused by her adoptive step father. The step father fled from Lemoore. Lemoore PD Officers were forced to Ping his cellphone in order to locate him. ","Child Abuse"," ","Minors","Device Only"," ","Location information","Wed, 2020-04-15","Wed, 2020-04-15","tends to show that a felony has been committed or that a particular person has committed a felony
Cell Phone ping per section 1546.2(b)(1)
"," ","No"," "
"Los Angeles Police Department","Los Angeles","2020-85629","04/16/2020 - 13:21","Murder Investigation","Homicide"," ","Gang Related","Business","Verizon, AT&T, T-Mobile, and Sprint","Other transactional and account records from a service provider
Location information
","Tue, 2020-02-25","Tue, 2020-02-25","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","2020-85626","04/16/2020 - 13:27","Murder Investigation","Homicide"," ","Gang Related","Business","Facebook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-01-01","Fri, 2020-03-13","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","2020-85628","04/16/2020 - 13:37","Murder Investigation","Homicide"," ","Gang Related","Business
Device Only
","LG Cell Phone","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2017-01-01","Thu, 2020-03-26","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Angeles Police Department","Los Angeles","2020-85625","04/16/2020 - 13:41","Murder Investigation","Homicide"," "," ","Business","Facebook","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-01-01","Thu, 2020-03-26","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Los Gatos-Monte Sereno Police Department","Santa Clara"," ","04/16/2020 - 15:52","Computer intrusion and identity theft","Computer Crime Fraud"," ","ID Theft","Business","Comcast Cable Communications","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
","Sun, 2020-03-01","Thu, 2020-04-16","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"WALNUT CREEK POLICE DEPARTMENT","Contra Costa","MS19-646","04/17/2020 - 12:51","THREATS OF SEXUAL ASSAULT, BODILY HARM AND DEATH TO POLICE EMPLOYEES AND THEIR FAMILIES.","Threats/Harassment"," "," ","Business","ATT","Other transactional and account records from a service provider","Fri, 2020-04-17","Sun, 2020-05-17","tends to show that a felony has been committed or that a particular person has committed a felony","endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"WALNUT CREEK POLICE DEPARTMENT","Contra Costa"," ","04/17/2020 - 14:24","DEATH OF AN INDIVIDUAL, WITH THE CAUSE AND MANNER PENDING.","Narcotics
DEATH - CAUSE UNKNOWN
"," "," ","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Fri, 2020-04-17","Sun, 2020-05-17","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Montclair PD","San Bernardino"," ","04/18/2020 - 14:34","Ongoing attempted homicide investigation.","Homicide"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sat, 2020-04-11","Mon, 2020-04-20","tends to show that a felony has been committed or that a particular person has committed a felony","lead to flight from prosecution","No"," "
"Long Beach Police Department","Los Angeles","LB20S385","04/20/2020 - 07:26","Search warrant for data of phone numbers frequently in contact with suspect #1.","Homicide"," ","Gang Related","Business","AT&T","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2019-10-21","Tue, 2020-01-21","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Long Beach Police Department","Los Angeles","LB20S385","04/20/2020 - 07:31","Search warrant for data related to phone numbers frequently in contact with the suspect.  ","Homicide"," ","Gang Related","Business","T-Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2019-10-21","Tue, 2020-01-21","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Long Beach Police Department","Los Angeles","LB20S385","04/20/2020 - 07:56","Search warrant for data generated by numbers frequently in contact with the suspect.  This is a correction to the notification made today at 0726 hrs.  Business name should have been listed as Sprint, and not AT&T.","Homicide"," ","Gang Related","Business","Sprint","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2019-10-21","Tue, 2020-01-21","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"CDCR","Los Angeles"," ","04/20/2020 - 11:47","Search warrant is related to a prison escape","Arrest/Warrant Fugitive"," "," ","Device Only"," ","Basic subscriber information from a service provider
Location information
","Sat, 2020-04-18","Mon, 2020-05-18","was used as the means of committing a felony"," ","No"," "
"Stanislaus County Sheriff's Department","Stanislaus"," ","04/21/2020 - 08:13","Homicide investigation.","Homicide"," "," ","Business","AT&T","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2020-02-03","Mon, 2020-02-24","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Los Angeles Police Department","Los Angeles"," ","04/21/2020 - 08:43","Murder Investigation","Homicide"," ","Gang Related","Business","TMobile, TextMe","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Wed, 2020-01-01","Wed, 2020-04-08","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"SBCSD","San Bernardino","N/A","04/21/2020 - 09:48","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-08-21","Fri, 2019-09-20","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"SBCSD","San Bernardino","N/A","04/21/2020 - 09:53","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-08-21","Fri, 2019-09-20","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"SBCSD","San Bernardino","N/A","04/21/2020 - 09:58","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-08-22","Sat, 2019-09-21","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"SBCSD","San Bernardino","N/A","04/21/2020 - 10:04","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Fri, 2019-08-23","Sun, 2019-09-22","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"SBCSD","San Bernardino","N/A","04/21/2020 - 10:16","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Tue, 2019-08-27","Thu, 2019-09-26","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"SBCSD","Riverside","RI082820194","04/21/2020 - 10:21","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-08-28","Fri, 2019-09-27","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"SBCSD","Riverside","RI082820197","04/21/2020 - 10:30","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-08-28","Fri, 2019-09-27","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"SBCSD","San Bernardino","N/A","04/21/2020 - 11:04","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-08-28","Fri, 2019-09-27","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"SBCSD","San Bernardino","N/A","04/21/2020 - 11:17","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-09-04","Fri, 2019-10-04","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Simi Valley PD","Ventura"," ","04/21/2020 - 11:21","Residential burglary investigation. Tower dump. Extension was honored by the court on 2/14/20","Burglary"," "," ","Business","T-Mobile, Sprint, Metro PCS, Verizon, AT&T","Basic subscriber information from a service provider
Location information
","Sat, 2019-11-09","Sat, 2019-11-09","was stolen or embezzled
was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Riverside County District Attorney","Riverside"," ","04/21/2020 - 11:36","Homicide investigation.","Homicide"," "," ","Device Only"," ","Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Mon, 2018-01-01","Thu, 2019-07-11","tends to show that a felony has been committed or that a particular person has committed a felony"," ","No"," "
"Simi Valley PD","Ventura"," ","04/21/2020 - 11:49","residential burglary investigation. Second delay honored by court on 2/14/20","Burglary"," "," ","Business","T-Mobile, Sprint, Metro PCS, Verizon, AT&T","Basic subscriber information from a service provider
Location information
","Tue, 2019-10-01","Tue, 2019-12-03","was stolen or embezzled
was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Simi Valley PD","Ventura"," ","04/21/2020 - 12:16","ORT commercial burglary","ORT investigation"," "," ","Device Only"," ","Stored files (picture, documents, or other files)","Wed, 2020-01-01","Sat, 2020-02-15","was stolen or embezzled
tends to show that a felony has been committed or that a particular person has committed a felony
","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI0905201913","04/21/2020 - 13:22","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-09-05","Sat, 2019-10-05","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI090620194","04/21/2020 - 13:28","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Fri, 2019-09-06","Sun, 2019-10-06","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI090620196","04/21/2020 - 13:34","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Fri, 2019-09-06","Sun, 2019-10-06","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 13:45","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Mon, 2019-09-09","Wed, 2019-10-09","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 13:50","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Fri, 2019-09-13","Sun, 2019-10-13","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 13:55","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-09-18","Fri, 2019-10-18","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 13:59","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-09-19","Sat, 2019-10-19","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI0920201917","04/21/2020 - 14:39","Narcotics Trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Fri, 2019-09-20","Sun, 2019-10-20","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI092420191","04/21/2020 - 14:46","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Tue, 2019-09-24","Thu, 2019-10-24","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI092420194","04/21/2020 - 14:56","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Tue, 2019-09-24","Thu, 2019-10-24","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI092720192","04/21/2020 - 15:01","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Fri, 2019-09-27","Sun, 2019-10-27","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 15:06","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Tue, 2019-10-01","Thu, 2019-10-31","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 15:10","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-10-03","Sat, 2019-11-02","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 15:13","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-10-03","Sat, 2019-11-02","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI1004201912","04/21/2020 - 15:58","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Fri, 2019-10-04","Sun, 2019-11-03","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 16:05","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Mon, 2019-10-07","Wed, 2019-11-06","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 16:11","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Mon, 2019-10-07","Wed, 2019-11-06","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 16:15","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Tue, 2019-10-08","Thu, 2019-11-07","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI100920192","04/21/2020 - 16:21","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-10-09","Fri, 2019-11-08","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 16:25","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-10-10","Sat, 2019-11-09","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","N/A","04/21/2020 - 16:29","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-10-10","Sat, 2019-11-09","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 16:33","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-10-10","Sat, 2019-11-09","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 16:37","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Tue, 2019-10-15","Thu, 2019-11-14","was used as the means of committing a felony"," ","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI1015201912","04/21/2020 - 16:41","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Tue, 2019-10-15","Thu, 2019-11-14","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 16:46","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-10-16","Fri, 2019-11-15","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 16:49","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-10-17","Sat, 2019-11-16","was used as the means of committing a felony"," ","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI102320193","04/21/2020 - 16:56","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Tue, 2019-10-22","Thu, 2019-11-21","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 17:18","Narcotics traffic investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-10-23","Fri, 2019-11-22","was used as the means of committing a felony"," ","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 17:22","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-10-23","Fri, 2019-11-22","was used as the means of committing a felony"," ","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI102320191","04/21/2020 - 17:26","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-10-24","Sat, 2019-11-23","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI1024201916","04/21/2020 - 17:40","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-10-24","Sat, 2019-11-23","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI1024201917","04/21/2020 - 18:22","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-10-24","Sat, 2019-11-23","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","RI1025201919","04/21/2020 - 18:51","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Fri, 2019-10-25","Sun, 2019-11-24","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 18:55","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Tue, 2019-10-29","Thu, 2019-11-28","was used as the means of committing a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 18:59","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Tue, 2019-10-29","Thu, 2019-11-28","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 19:04","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Fri, 2019-11-01","Sun, 2019-12-01","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 19:09","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Tue, 2019-11-05","Thu, 2019-12-05","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 19:14","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Addressing information (pen register or trap and trace)","Tue, 2019-11-05","Thu, 2019-12-05","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 19:33","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-11-07","Fri, 2019-12-06","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 19:38","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Thu, 2019-11-07","Fri, 2019-12-06","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","Riverside","N/A","04/21/2020 - 19:43","Narcotics trafficking investigation","Narcotics"," "," ","Device Only"," ","Addressing information (pen register or trap and trace)","Wed, 2019-11-27","Thu, 2019-12-26","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"San Bernardino County Sheriff's Department","San Bernardino","N/A","04/21/2020 - 19:52","Narcotics trafficking investigation.","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Addressing information (pen register or trap and trace)
","Wed, 2019-11-27","Thu, 2019-12-26","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
